TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
--------------------------------------------------------------------------------------------------
particles_computation                                3758     0.8975     0.8975     0.8975  13.62%
MLCGSolver::bicgstab                                  559     0.5932     0.5932     0.5932   9.00%
MLNodeLaplacian::Fapply()                           17390     0.5469     0.5469     0.5469   8.30%
NeighborList::build()->list                           164     0.5218     0.5218     0.5218   7.92%
NeighborList::build()->count                          164      0.493      0.493      0.493   7.48%
NeighborParticleContainer::updateNeighborsCPU        3758     0.4221     0.4221     0.4221   6.40%
FabArray::LinComb()                                141286     0.2893     0.2893     0.2893   4.39%
CGSolver::sxay()                                   141286     0.2847     0.2847     0.2847   4.32%
FillBoundary_nowait()                               55183     0.2522     0.2522     0.2522   3.83%
amrex::Dot()                                        94716     0.2326     0.2326     0.2326   3.53%
MLCGSolver::ParallelAllReduce                      119119     0.2257     0.2257     0.2257   3.42%
mfix_dem::EvolveParticles()                            30     0.1898     0.1898     0.1898   2.88%
FabArray::FillBoundary()                            55369     0.1677     0.1677     0.1677   2.54%
amrex::Copy()                                       86853     0.1649     0.1649     0.1649   2.50%
MLEBABecLap::Fapply()                               31369     0.1583     0.1583     0.1583   2.40%
NeighborParticleContainer::cacheNeighborInfo          164     0.1179     0.1179     0.1179   1.79%
MLEBABecLap::applyBC()                              31495     0.1062     0.1062     0.1062   1.61%
FabArray::norminf()                                 48775    0.09598    0.09598    0.09598   1.46%
MLEBABecLap::apply()                                31369    0.09501    0.09501    0.09501   1.44%
MultiFab::Multiply()                                34388     0.0687     0.0687     0.0687   1.04%
FabArrayBase::getFB()                               55252    0.06149    0.06149    0.06149   0.93%
MLNodeLaplacian::normalize()                        17134    0.05905    0.05905    0.05905   0.90%
FillBoundary_finish()                               55183    0.05767    0.05767    0.05767   0.87%
FabArray::setVal()                                  10237    0.04449    0.04449    0.04449   0.67%
MLNodeLinOp::applyBC()                              17390    0.03533    0.03533    0.03533   0.54%
ParticleContainer::RedistributeCPU()                  227    0.02669    0.02669    0.02669   0.40%
MLEBTensorOp::apply()                                 601    0.02393    0.02393    0.02393   0.36%
mfix::mfix_calc_transfer_coeff()                       61    0.02224    0.02224    0.02224   0.34%
MFIXParticleContainer::InterphaseTxfrDeposition()      61    0.01992    0.01992    0.01992   0.30%
mfix::mfix_compute_convective_term                     63    0.01859    0.01859    0.01859   0.28%
NeighborParticleContainer::buildNeighborList          164    0.01674    0.01674    0.01674   0.25%
MFIXBoundaryConditions::set_species_bcs()             392    0.01495    0.01495    0.01495   0.23%
mfix::mfix_apply_nodal_projection                      64    0.01389    0.01389    0.01389   0.21%
FabArray::ParallelCopy_nowait()                       460    0.01301    0.01301    0.01301   0.20%
VisMF::Write(FabArray)                                  2    0.01208    0.01208    0.01208   0.18%
DenseBins<T>::buildOpenMP                             164    0.01141    0.01141    0.01141   0.17%
MFIXBoundaryConditions::set_velocity_bcs()            258    0.01052    0.01052    0.01052   0.16%
WriteBinaryParticleData()                               2   0.009809   0.009809   0.009809   0.15%
NeighborParticleContainer::fillNeighborsCPU           164   0.009621   0.009621   0.009621   0.15%
main()                                                  1   0.009056   0.009056   0.009056   0.14%
MFIXBoundaryConditions::set_temperature_bcs()         353   0.008072   0.008072   0.008072   0.12%
PhysBCFunct::()                                       244   0.007331   0.007331   0.007331   0.11%
MFIXBoundaryConditions::set_enthalpy_bcs()            224   0.007094   0.007094   0.007094   0.11%
