TinyProfiler total time across processes [min...avg...max]: 6.037 ... 6.037 ... 6.037

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
--------------------------------------------------------------------------------------------------
particles_computation                                3758     0.9226     0.9226     0.9226  15.28%
NeighborList::build()                                 164      0.636      0.636      0.636  10.54%
MLCGSolver::bicgstab                                  559     0.6062     0.6062     0.6062  10.04%
MLNodeLaplacian::Fapply()                           17390     0.5556     0.5556     0.5556   9.20%
NeighborParticleContainer::updateNeighborsCPU        3758     0.4416     0.4416     0.4416   7.31%
FillBoundary_nowait()                               55183      0.257      0.257      0.257   4.26%
amrex::Dot()                                        94716     0.2358     0.2358     0.2358   3.91%
MLCGSolver::ParallelAllReduce                      119119     0.2314     0.2314     0.2314   3.83%
mfix_dem::EvolveParticles()                            30     0.1892     0.1892     0.1892   3.13%
amrex::Copy()                                       86853     0.1719     0.1719     0.1719   2.85%
FabArray::FillBoundary()                            55369     0.1651     0.1651     0.1651   2.73%
MLEBABecLap::Fapply()                               31369     0.1594     0.1594     0.1594   2.64%
FabArray::Saxpy()                                   70712     0.1343     0.1343     0.1343   2.22%
NeighborParticleContainer::cacheNeighborInfo          164     0.1243     0.1243     0.1243   2.06%
MLEBABecLap::applyBC()                              31495      0.107      0.107      0.107   1.77%
FabArray::LinComb()                                 47358     0.1001     0.1001     0.1001   1.66%
FabArray::norminf()                                 49768    0.09941    0.09941    0.09941   1.65%
MLEBABecLap::apply()                                31369    0.09579    0.09579    0.09579   1.59%
MultiFab::Multiply()                                34388    0.06899    0.06899    0.06899   1.14%
MLNodeLaplacian::normalize()                        17134    0.06878    0.06878    0.06878   1.14%
FabArrayBase::getFB()                               55252    0.06346    0.06346    0.06346   1.05%
FillBoundary_finish()                               55183    0.05784    0.05784    0.05784   0.96%
FabArray::setVal()                                  10237    0.04725    0.04725    0.04725   0.78%
FabArray::Xpay()                                    24619     0.0451     0.0451     0.0451   0.75%
MLNodeLinOp::applyBC()                              17390    0.03598    0.03598    0.03598   0.60%
ParticleContainer::RedistributeCPU()                  227    0.02708    0.02708    0.02708   0.45%
MLEBTensorOp::apply()                                 601    0.02371    0.02371    0.02371   0.39%
mfix::mfix_calc_transfer_coeff()                       61    0.02308    0.02308    0.02308   0.38%
MFIXParticleContainer::InterphaseTxfrDeposition()      61    0.02133    0.02133    0.02133   0.35%
mfix::mfix_compute_convective_term                     63    0.01861    0.01861    0.01861   0.31%
NeighborParticleContainer::buildNeighborList          164    0.01689    0.01689    0.01689   0.28%
MFIXBoundaryConditions::set_species_bcs()             392    0.01552    0.01552    0.01552   0.26%
FabArray::ParallelCopy_nowait()                       460    0.01477    0.01477    0.01477   0.24%
mfix::mfix_apply_nodal_projection                      64    0.01411    0.01411    0.01411   0.23%
main()                                                  1    0.01261    0.01261    0.01261   0.21%
DenseBins<T>::buildOpenMP                             164    0.01088    0.01088    0.01088   0.18%
MFIXBoundaryConditions::set_velocity_bcs()            258    0.01026    0.01026    0.01026   0.17%
NeighborParticleContainer::fillNeighborsCPU           164   0.009858   0.009858   0.009858   0.16%
VisMF::Write(FabArray)                                  2   0.009726   0.009726   0.009726   0.16%
WriteBinaryParticleData()                               2   0.009414   0.009414   0.009414   0.16%
MFIXBoundaryConditions::set_temperature_bcs()         353   0.008223   0.008223   0.008223   0.14%
PhysBCFunct::()                                       244   0.007927   0.007927   0.007927   0.13%
WriteMultiLevelPlotfile()                               2   0.007466   0.007466   0.007466   0.12%
mfix::mfix_apply_corrector                             30   0.007276   0.007276   0.007276   0.12%
MFIXBoundaryConditions::set_enthalpy_bcs()            224   0.007107   0.007107   0.007107   0.12%
mfix::mfix_apply_predictor                             33   0.006326   0.006326   0.006326   0.10%
particle_deposition                                    30   0.005502   0.005502   0.005502   0.09%
mfix::compute_MAC_projected_velocities()               63   0.005338   0.005338   0.005338   0.09%
mfix::EvolveFluid                                      30   0.005225   0.005225   0.005225   0.09%
NeighborParticleContainer::fillNeighborsMPI          3758   0.004989   0.004989   0.004989   0.08%
MLNodeLaplacian::compRHS()                            128   0.004759   0.004759   0.004759   0.08%
MFIXBoundaryConditions::set_epg_bcs()                 153   0.004328   0.004328   0.004328   0.07%
MLMG::solve()                                         217   0.003854   0.003854   0.003854   0.06%
amrex::Add()                                         1499   0.003818   0.003818   0.003818   0.06%
MFIXParticleContainer::SolidsVolumeDeposition()        31   0.003784   0.003784   0.003784   0.06%
MLMG::prepareForSolve()                               217   0.003768   0.003768   0.003768   0.06%
MLNodeLaplacian::prepareForSolve()                     64   0.003624   0.003624   0.003624   0.06%
DiffusionOp::diffuse_temperature                       30   0.003599   0.003599   0.003599   0.06%
MLMG::actualBottomSolve()                             559   0.003565   0.003565   0.003565   0.06%
MFIXBoundaryConditions::set_density_bcs()             132    0.00335    0.00335    0.00335   0.06%
DiffusionOp::ComputeDivhJ                              63   0.003347   0.003347   0.003347   0.06%
MOL::ExtrapVelToFacesBox                               63   0.002895   0.002895   0.002895   0.05%
DiffusionOp::ComputeDivTau                             33   0.002804   0.002804   0.002804   0.05%
ParticleContainer::WriteParticles()                     2   0.002532   0.002532   0.002532   0.04%
DiffusionOp::ComputeLapX                               63   0.002517   0.002517   0.002517   0.04%
mfix::mfix_calc_txfr_fluid()                           61   0.002514   0.002514   0.002514   0.04%
mfix::WritePlotFile()                                   2   0.002438   0.002438   0.002438   0.04%
MLMG::oneIter()                                       559   0.002126   0.002126   0.002126   0.04%
mfix::mfix_add_energy_txfr_implicit                    63   0.002087   0.002087   0.002087   0.03%
MLMG::ResNormInf()                                    776   0.001891   0.001891   0.001891   0.03%
MLCellLinOp::solutionResidual()                       586   0.001869   0.001869   0.001869   0.03%
MLMG::computeResidual()                               559   0.001852   0.001852   0.001852   0.03%
